"","domain","phylum","class","order","family","genus","otu"
"OTU_185","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","OTU_185"
"OTU_108","Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","OTU_108"
"OTU_160","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified_Ruminococcaceae","OTU_160"
"OTU_70","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified_Lachnospiraceae","OTU_70"
"OTU_13","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Akkermansia","OTU_13"
"OTU_186","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto","OTU_186"
"OTU_39","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter","OTU_39"
"OTU_3","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","OTU_3"
"OTU_1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","OTU_1"
"OTU_128","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiracea_incertae_sedis","OTU_128"
"OTU_22","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","OTU_22"
"OTU_754","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified_Ruminococcaceae","OTU_754"
"OTU_301","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiracea_incertae_sedis","OTU_301"
"OTU_124","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiracea_incertae_sedis","OTU_124"
"OTU_527","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiracea_incertae_sedis","OTU_527"
"OTU_30","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Phascolarctobacterium","OTU_30"
"OTU_309","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified_Lachnospiraceae","OTU_309"
"OTU_608","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified_Clostridiales","unclassified_Clostridiales","OTU_608"
"OTU_15","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","OTU_15"
"OTU_36","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","OTU_36"
"OTU_12","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","OTU_12"
"OTU_1791","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","OTU_1791"
"OTU_61","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified_Lachnospiraceae","OTU_61"
"OTU_26","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiracea_incertae_sedis","OTU_26"
"OTU_84","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","OTU_84"
"OTU_31","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","OTU_31"
"OTU_276","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified_Ruminococcaceae","OTU_276"
"OTU_226","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Butyricicoccus","OTU_226"
"OTU_176","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified_Ruminococcaceae","OTU_176"
"OTU_54","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","OTU_54"
"OTU_95","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter","OTU_95"
"OTU_175","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiracea_incertae_sedis","OTU_175"
"OTU_112","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified_Ruminococcaceae","OTU_112"
"OTU_163","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","OTU_163"
"OTU_16","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiracea_incertae_sedis","OTU_16"
"OTU_67","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","OTU_67"
"OTU_296","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Clostridium_XI","OTU_296"
"OTU_105","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Odoribacter","OTU_105"
"OTU_49","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","OTU_49"
"OTU_1536","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","OTU_1536"
"OTU_410","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified_Ruminococcaceae","OTU_410"
"OTU_118","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Clostridium_XI","OTU_118"
"OTU_1023","Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","OTU_1023"
"OTU_8","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiracea_incertae_sedis","OTU_8"
"OTU_46","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiracea_incertae_sedis","OTU_46"
"OTU_52","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","OTU_52"
"OTU_34","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","OTU_34"
"OTU_250","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified_Lachnospiraceae","OTU_250"
"OTU_156","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Flavonifractor","OTU_156"
"OTU_5","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","OTU_5"
"OTU_127","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto","OTU_127"
"OTU_153","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","OTU_153"
"OTU_819","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified_Ruminococcaceae","OTU_819"
"OTU_170","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","OTU_170"
"OTU_18","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","OTU_18"
"OTU_33","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","OTU_33"
"OTU_324","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","OTU_324"
"OTU_253","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter","OTU_253"
"OTU_117","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","OTU_117"
"OTU_101","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","OTU_101"
"OTU_142","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","OTU_142"
"OTU_278","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto","OTU_278"
"OTU_619","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified_Lachnospiraceae","OTU_619"
"OTU_149","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified_Ruminococcaceae","OTU_149"
"OTU_774","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter","OTU_774"
"OTU_21","Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","OTU_21"
"OTU_62","Bacteria","Actinobacteria","Actinobacteria","Coriobacteriales","Coriobacteriaceae","Collinsella","OTU_62"
"OTU_92","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","OTU_92"
"OTU_258","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified_Lachnospiraceae","OTU_258"
"OTU_35","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia_Shigella","OTU_35"
